,b,angle,x/z,T_max
1374,0.4,0.770598348757236,-0.9379583392139882,2.7400000000000015
1375,0.4,0.751134112721335,-0.9294681713024061,2.7500000000000018
1376,0.4,0.7315287637505674,-0.9210499571153353,2.7600000000000016
1377,0.4,0.7117809851228791,-0.9127037971868336,2.7700000000000014
1378,0.4,0.6918894229931348,-0.9044298240585323,2.7800000000000016
1379,0.4,0.6718526850214209,-0.8962282032466148,2.790000000000002
1380,0.4,0.6516693389987445,-0.8880991342621628,2.8000000000000016
1381,0.4,0.6313379114762351,-0.8800428516869329,2.8100000000000014
1382,0.4,0.6108568864043279,-0.8720596263066693,2.8200000000000016
1383,0.4,0.590224703789495,-0.8641497663041062,2.830000000000002
1384,0.4,0.5694397583773054,-0.8563136185138371,2.8400000000000016
1385,0.4,0.5485003983709509,-0.8485515697412673,2.8500000000000014
1386,0.4,0.5274049241961569,-0.8408640481478663,2.8600000000000017
1387,0.4,0.5061515873241776,-0.8332515247049438,2.870000000000002
1388,0.4,0.4847385891660803,-0.8257145147181588,2.8800000000000017
1389,0.4,0.46316408005301735,-0.8182535794249334,2.8900000000000015
1390,0.4,0.44142615831843746,-0.810869327666891,2.9000000000000017
1391,0.4,0.4195228695003116,-0.8035624176393613,2.910000000000002
1392,0.4,0.3974522056826173,-0.7963335587198853,2.9200000000000017
1393,0.4,0.37521210499810626,-0.7891835133775142,2.9300000000000015
1394,0.4,0.35280045131557014,-0.7821130991645222,2.9400000000000017
1395,0.4,0.33021507413759427,-0.7751231907919361,2.950000000000002
1396,0.4,0.3074537487369484,-0.7682147222900175,2.9600000000000017
1397,0.4,0.28451419656238375,-0.7613886892545182,2.9700000000000015
1398,0.4,0.2613940859468811,-0.75464615117915,2.9800000000000018
1399,0.4,0.23809103315471625,-0.747988233874268,2.990000000000002
1400,0.4,0.2146026038059216,-0.7414161319712428,3.0000000000000018
1401,0.4,0.19092631472050445,-0.7349311115114,3.0100000000000016
1402,0.4,0.16705963622716685,-0.7285345126177034,3.020000000000002
1403,0.4,0.14299999498485352,-0.7222277522465692,3.030000000000002
1404,0.4,0.11874477736848216,-0.7160123270162834,3.040000000000002
1405,0.4,0.09429133347360463,-0.7098898161074663,3.0500000000000016
1406,0.4,0.06963698179790409,-0.7038618842298642,3.060000000000002
1407,0.4,0.04477901466017004,-0.6979302846484361,3.070000000000002
1408,0.4,0.01971470442108396,-0.6920968622602401,3.080000000000002
1409,0.4,-0.005558689427859766,-0.6863635567119893,3.0900000000000016
1410,0.4,-0.03104391223827497,-0.6807324055463375,3.100000000000002
1411,0.4,-0.05674370517047806,-0.6752055473629553,3.110000000000002
1412,0.4,-0.08266079507834966,-0.669785224978258,3.120000000000002
1413,0.4,-0.10879788324040995,-0.6644737885652445,3.1300000000000017
1414,0.4,-0.13515763286373972,-0.6592736987522974,3.140000000000002
1415,0.4,-0.16174265528881,-0.6541875296569581,3.150000000000002
